รหัสประเภท,หน่วย,ชื่อ,รายละเอียดโดยย่อ,ราคาขาย/ต่อหน่วย,สต็อกขั้นต่ำให้แจ้งเตือน,บาร์โค้ด (ถ้ามี)
CAT001,แผ่น,MDF 2.5 มิล (ขายส่ง),,75,100,
CAT001,แผ่น,MDF  3 มิล,,100,100,
CAT001,แผ่น,MDF 3 มิล (ขายส่ง),,85,100,
CAT001,แผ่น,MDF 6 มิล,,195,100,
CAT001,แผ่น,MDF 9 มิล,,270,100,
CAT001,แผ่น,MDF 12 มิล,,300,100,
CAT001,แผ่น,MDF 15 มิล,,370,100,
CAT001,แผ่น,MDF 18 มิล,,440,100,
CAT001,แผ่น,MDF 25 มิล,,490,100,
CAT001,แผ่น,ปาติเกิลเคลือบเมลามีน ขาว 10 มิล,,360,50,
CAT001,แผ่น,ปาติเกิลเคลือบเมลามีน ขาว 16 มิล,,490,50,
CAT001,แผ่น,ปาติเกิลเคลือบเมลามีน ลาย 16 มิล,,590,50,
CAT001,แผ่น,ไม้อัดยาง 4 มิล เกรด A,,320,100,
CAT001,แผ่น,ไม้อัดยาง 4 มิล เกรด B,,300,100,
CAT001,แผ่น,ไม้อัดยาง 6 มิล เกรด A,,390,100,
CAT001,แผ่น,ไม้อัดยาง 6 มิล เกรด B,,370,100,
CAT001,แผ่น,ไม้อัดยาง 10 มิล เกรด A,,495,100,
CAT001,แผ่น,ไม้อัดยาง 10 มิล เกรด B,,465,100,
CAT001,แผ่น,ไม้อัดยาง 10 มิล เกรด C,,430,100,
CAT001,แผ่น,ไม้อัดยาง 10 มิล ไม้แบบ,,345,50,
CAT001,แผ่น,ไม้อัดยาง 15 มิล ตราภูเขา,,990,100,
CAT001,แผ่น,ไม้อัดยาง 15 มิล เกรด A,,790,100,
CAT001,แผ่น,ไม้อัดยาง 15 มิล เกรด B,,720,100,
CAT001,แผ่น,ไม้อัดยาง 15 มิล เกรด C,,650,100,
CAT001,แผ่น,ไม้อัดยาง 20 มิล ตราภูเขา,,1290,100,
CAT001,แผ่น,ไม้อัดยาง 20 มิล เกรด A,,990,100,
CAT001,แผ่น,ไม้อัดยาง 20 มิล เกรด B,,920,100,
,,ไม้อัดยาง 20 มิล เกรด C,,850,100,
CAT001,แผ่น,ไม้อัดพื้นเตียง 2 นิ้ว,,150,20,
CAT001,แผ่น,ไม้อัดพื้นเตียง 3 นิ้ว,,200,20,
CAT001,แผ่น,HMR 4 มิล,,190,100,
CAT001,แผ่น,HMR 6 มิล,,270,100,
CAT001,แผ่น,HMR 9 มิล,,370,100,
CAT001,แผ่น,HMR 12 มิล,,450,100,
CAT001,แผ่น,HMR 15 มิล,,550,100,
CAT001,แผ่น,HMR 17 มิล,,590,100,
CAT001,แผ่น,HMR 18 มิล,,650,100,
CAT001,แผ่น,ไม้อัดดัดโค้ง 4 มิล,,590,50,
CAT001,แผ่น,เมลามีนขาว 1 หน้า ขนาด 6 มิล,,430,50,
CAT001,แผ่น,เมลามีนขาว 1 หน้า ขนาด 9 มิล,,530,50,
CAT001,แผ่น,เมลามีนขาว 1 หน้า ขนาด 15 มิล,,680,50,
CAT001,แผ่น,เมลามีนขาว 1 หน้า ขนาด 18 มิล,,795,50,
CAT001,แผ่น,เมลามีนดำ 1 หน้า ขนาด 9 มิล,,740,50,
CAT001,แผ่น,เมลามีนดำ 1 หน้า ขนาด 15 มิล,,890,50,
CAT001,แผ่น,เมลามีนดำ 1 หน้า ขนาด 18 มิล,,950,50,
CAT001,แผ่น,เมลามีนขาว 2หน้า ขนาด 6 มิล,,495,50,
CAT001,แผ่น,เมลามีนขาว 2หน้า ขนาด 9 มิล,,590,50,
CAT001,แผ่น,เมลามีนขาว 2หน้า ขนาด 15 มิล,,760,50,
CAT001,แผ่น,เมลามีนขาว 2หน้า ขนาด 18 มิล,,860,50,
CAT001,แผ่น,บอร์ดขาว 3 มิล,,335,50,
CAT001,แผ่น,บอร์ดขาว 6 มิล,,485,50,
CAT001,แผ่น,บอร์ดขาว 10 มิล,,570,50,
CAT001,แผ่น,ไม้อัดปิดผิวกระดาษ 3 มิล,,165,50,
CAT001,แผ่น,ไม้อัดหน้ายาง/ยาง,,295,50,
CAT001,แผ่น,ไม้อัดพาราประสาน 16มิล,,1390,20,
CAT001,แผ่น,ไม้อัดพาราประสาน 20มิล,,1490,20,
CAT001,แผ่น,ไม้อัดชานอ้อยนอก,,460,50,
CAT001,แผ่น,ไม้อัดฟิล์มดำ 15 มิล,,460,50,
CAT001,แผ่น,ไม้อัดบล๊อกบอร์ด 15 มิล,,850,50,
CAT001,แผ่น,ไม้อัด OSB,,365,20,
CAT001,แผ่น,ไม้อัดสัก 4 ช่อ,,360,50,
CAT001,แผ่น,ไม้อัดสัก 6 ช่อ,,380,50,
CAT001,แผ่น,ไม้อัด แอช,,440,50,
CAT003,มัด,ไม้โครงเบญจพรรณ,,320,100,
CAT003,มัด,ไม้โครงทุเรียน,,360,100,
CAT003,มัด,ไม้โครงสะเดา,,390,100,
,,,,,,
CAT002,เส้น,ไม้คิ้ว รหัส 005 ขนาด 2.40 เมตร,ม. ละ 28,67.2,50,
CAT002,เส้น,ไม้คิ้ว รหัส 005 ขนาด 2.70 เมตร,,75.6,50,
CAT002,เส้น,ไม้คิ้ว รหัส 005 ขนาด 3.00 เมตร,,84,50,
CAT002,เส้น,ไม้คิ้ว รหัส 013 ขนาด 2.40 เมตร,ม. ละ 14,33.6,50,
CAT002,เส้น,ไม้คิ้ว รหัส 013 ขนาด 2.70 เมตร,,37.8,50,
CAT002,เส้น,ไม้คิ้ว รหัส 018 ขนาด 2.40 เมตร,ม. ละ 18,43.2,50,
CAT002,เส้น,ไม้คิ้ว รหัส 025 ขนาด 2.40 เมตร,ม. ละ 28,67.2,50,
CAT002,เส้น,ไม้คิ้ว รหัส 025 ขนาด 2.70 เมตร,,75.6,50,
CAT002,เส้น,ไม้คิ้ว รหัส 029 ขนาด 2.40 เมตร,ม. ละ 16,38.4,50,
CAT002,เส้น,ไม้คิ้ว รหัส 029 ขนาด 2.70 เมตร,,43.2,50,
CAT002,เส้น,ไม้คิ้ว รหัส 050 ขนาด 2.40 เมตร,ม. ละ 36,86.4,50,
CAT002,เส้น,ไม้คิ้ว รหัส 050 ขนาด 2.70 เมตร,,97.2,50,
CAT002,เส้น,ไม้คิ้ว รหัส 054 ขนาด 2.40 เมตร,ม. ละ 28,67.2,50,
CAT002,เส้น,ไม้คิ้ว รหัส 054 ขนาด 2.70 เมตร,,75.6,50,
CAT002,เส้น,ไม้คิ้ว รหัส 066 ขนาด 2.40 เมตร,ม. ละ 14,33.6,50,
CAT002,เส้น,ไม้คิ้ว รหัส 066 ขนาด 2.70 เมตร,,37.8,50,
CAT002,เส้น,ไม้คิ้ว รหัส 078 ขนาด 2.40 เมตร,ม. ละ 36,86.4,50,
CAT002,เส้น,ไม้คิ้ว รหัส 078 ขนาด 2.70 เมตร,,97.2,50,
CAT002,เส้น,ไม้คิ้ว รหัส 086 ขนาด 2.40 เมตร,ม. ละ 28,67.2,50,
CAT002,เส้น,ไม้คิ้ว รหัส 086 ขนาด 2.70 เมตร,,75.6,50,
CAT002,เส้น,ไม้คิ้ว รหัส 087 ขนาด 2.10 เมตร,ม. ละ 30,63,50,
CAT002,เส้น,ไม้คิ้ว รหัส 087 ขนาด 2.40 เมตร,,72,50,
CAT002,เส้น,ไม้คิ้ว รหัส 087 ขนาด 2.70 เมตร,,81,50,
CAT002,เส้น,ไม้คิ้ว รหัส 088 ขนาด 3.00 เมตร,ม. ละ 20,60,50,
CAT002,เส้น,ไม้คิ้ว รหัส 096 ขนาด 2.00 เมตร,ม. ละ 30,60,50,
CAT002,เส้น,ไม้คิ้ว รหัส 096 ขนาด 2.40 เมตร,,72,50,
CAT002,เส้น,ไม้คิ้ว รหัส 101 ขนาด 2.40 เมตร,ม. ละ 34,81.6,50,
CAT002,เส้น,ไม้คิ้ว รหัส 101 ขนาด 3.00 เมตร,,102,50,
CAT002,เส้น,ไม้คิ้ว รหัส 102 ขนาด 2.40 เมตร,ม. ละ 45,108,50,
CAT002,เส้น,ไม้คิ้ว รหัส 102 ขนาด 2.70 เมตร,,121.5,50,
CAT002,เส้น,ไม้คิ้ว รหัส 119 ขนาด 2.40 เมตร,ม. ละ 50,120,50,
CAT002,เส้น,ไม้คิ้ว รหัส 119 ขนาด 2.70 เมตร,,135,50,
CAT002,เส้น,ไม้คิ้ว รหัส 142 ขนาด 2.40 เมตร,ม. ละ 26,62.4,50,
CAT002,เส้น,ไม้คิ้ว รหัส A26 ขนาด 2.40 เมตร,ม. ละ 85,204,50,
CAT002,เส้น,ไม้คิ้ว รหัส A26 ขนาด 2.70 เมตร,,229.5,50,
CAT002,เส้น,ไม้คิ้ว รหัส A63 ขนาด 2.40 เมตร,ม. ละ 75,180,50,
CAT002,เส้น,ไม้คิ้ว รหัส A26 ขนาด 2.70 เมตร,,202.5,50,
CAT002,เส้น,คอบมุม 1 นิ้ว ขนาด 2.40 เมตร,ม. ละ 40,96,50,
CAT002,เส้น,คอบมุม 1 นิ้ว ขนาด 2.70 เมตร,,108,50,
CAT002,เส้น,บัวบน 2 นิ้ว ขนาด 2.40 เมตร,ม. ละ 50,120,50,
CAT002,เส้น,บัวบน 2 นิ้ว ขนาด 2.70 เมตร,,135,50,
CAT002,เส้น,บัวบน 3 นิ้ว ขนาด 3.00 เมตร,ม. ละ 70,210,50,
CAT002,เส้น,บัวบน 4 นิ้ว ขนาด 3.00 เมตร,ม. ละ 80,240,50,
